,APN,BA>75 All Slopes,BA>75 & S>30,BA>75 & 30>S>15,BA>75 & S<15,"BA<75,BA>50  and S>30","BA<75,BA>50  and 30>S>15","BA<75,BA>50 and S<15","BA<50,BA>25 and S>30","BA<50,BA>25 and 30>S>15","BA<50,BA>25 and S<15",BA<25 and S>30,BA<25 and 30>S>15,BA<25 and S<15
0,011020001,1259.81,269.43,617.42,372.96,38.34,69.11,72.9,40.27,77.31,88.7,69.16,253.74,259.27
1,011100025,634.74,9.24,96.06,529.44,0.41,6.14,54.46,0.45,4.65,48.32,0.85,16.16,80.28
2,011060002,369.77,51.0,181.63,137.14,9.23,47.03,57.73,9.23,51.54,72.11,32.39,216.48,369.39
3,011060001,338.77,16.42,97.91,224.44,1.52,8.34,27.22,2.46,8.26,24.44,25.93,36.77,36.43
4,011060017,325.82,45.74,58.82,221.26,5.57,10.9,51.77,4.99,12.53,47.08,4.59,64.87,253.77
5,011020002,96.86,22.93,54.92,19.01,8.08,22.11,18.32,12.19,30.96,24.83,108.4,262.94,209.97
6,011100007,64.80000000000001,1.25,15.81,47.74,0.04,1.12,5.78,0.04,1.0,5.54,0.2,0.89,4.02
7,011100008,54.72,0.0,0.91,53.81,0.0,0.09,1.2,0.0,0.0,0.0,0.0,0.0,0.0
8,011160006,49.56999999999999,4.08,27.68,17.81,0.02,2.69,2.32,0.19,3.2,3.85,0.9,13.94,11.02
9,011020003,31.020000000000003,2.62,17.68,10.72,3.95,15.16,8.96,10.9,21.17,8.27,87.95,113.74,41.58
10,011130021,14.520000000000001,0.02,1.04,13.46,0.0,0.58,3.54,0.0,0.52,3.68,0.0,1.23,13.31
11,011130022,13.25,0.01,0.32,12.92,0.01,0.42,8.16,0.04,0.42,12.23,0.12,2.05,58.34
12,011200021,13.219999999999999,0.57,3.39,9.26,0.91,2.45,3.82,2.16,3.94,4.49,8.38,13.93,5.22
13,011130016,11.56,0.77,4.87,5.92,0.8,3.24,2.38,0.64,3.13,3.34,9.21,37.41,56.17
14,011160007,11.09,0.0,0.04,11.05,0.0,0.27,23.71,0.01,0.19,44.62,1.15,6.07,196.89
15,011130020,10.87,0.0,0.19,10.68,0.01,0.46,9.36,0.01,0.64,9.93,0.05,0.98,14.17
16,011200022,10.860000000000001,0.0,0.23,10.63,0.0,0.03,3.93,0.0,0.04,3.53,0.0,0.0,3.05
17,011130013,10.67,0.0,0.02,10.65,0.0,0.0,5.47,0.0,0.0,5.77,0.01,0.1,19.23
18,011130004,10.15,0.04,1.7,8.41,0.0,0.15,0.37,0.0,0.04,0.33,0.0,0.0,0.0
19,011010001,7.87,0.1,3.47,4.3,0.18,2.62,3.9,0.08,1.3,2.31,0.03,4.56,10.92
20,011130010,5.9399999999999995,0.03,0.41,5.5,0.0,0.03,0.78,0.0,0.01,0.73,0.0,0.0,0.0
21,011130015,5.4399999999999995,0.0,1.13,4.31,0.26,1.86,5.25,0.28,1.54,3.22,2.24,8.32,34.01
22,011200009,5.4,0.0,0.11,5.29,0.0,0.02,11.99,0.07,0.35,22.99,12.62,22.72,252.24
23,011130019,4.66,0.0,0.0,4.66,0.0,0.06,5.41,0.0,0.15,8.14,0.01,0.45,32.94
24,011210011,3.61,0.0,0.0,3.61,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
25,011210012,3.1,0.0,0.0,3.1,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0
26,011160010,3.0,2.08,0.3,0.62,0.75,2.67,1.09,2.1,3.17,2.16,17.98,21.93,2.42
27,011130018,2.94,0.0,0.42,2.52,0.0,0.15,1.63,0.01,0.23,5.52,0.08,0.7,20.58
28,011210013,2.9,0.0,0.0,2.9,0.0,0.01,0.52,0.0,0.0,0.13,0.0,0.0,0.0
29,011210010,2.76,0.0,0.0,2.76,0.0,0.0,0.1,0.0,0.0,0.09,0.0,0.0,0.0
30,011210008,2.31,0.0,0.07,2.24,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0
31,011200ROW,2.0300000000000002,0.0,0.16,1.87,0.02,0.04,0.74,0.04,0.16,0.88,0.0,0.0,0.34
32,011200ROW,2.0300000000000002,0.0,0.16,1.87,0.02,0.04,0.74,0.04,0.16,0.88,0.0,0.0,0.34
33,011210009,1.83,0.0,0.0,1.83,0.0,0.0,0.44,0.0,0.0,0.58,0.0,0.0,0.0
34,011210004,1.81,0.04,0.68,1.09,0.12,0.96,0.38,0.12,0.46,0.24,0.0,0.0,0.0
35,011210007,1.6,0.0,0.1,1.5,0.0,0.01,0.93,0.0,0.0,0.32,0.0,0.0,0.0
36,011170002,1.53,0.04,0.49,1.0,0.0,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.0
37,011210003,1.4700000000000002,0.01,0.37,1.09,0.05,0.36,1.23,0.05,0.29,1.56,0.07,0.41,5.34
38,011210ROW,1.1800000000000002,0.0,0.07,1.11,0.04,0.07,1.35,0.0,0.01,0.84,0.0,0.02,0.52
39,011130006,0.92,0.0,0.01,0.91,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
40,011210006,0.9099999999999999,0.0,0.06,0.85,0.0,0.01,0.95,0.0,0.0,0.61,0.0,0.08,0.29
41,011130011,0.87,0.0,0.0,0.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,011210021,0.81,0.0,0.01,0.8,0.01,0.08,0.2,0.0,0.13,0.13,0.0,0.05,1.97
43,011254005,0.7,0.13,0.12,0.45,0.0,0.0,0.31,0.01,0.0,0.02,0.0,0.0,0.0
44,011210017,0.68,0.0,0.0,0.68,0.0,0.0,1.07,0.0,0.0,1.02,0.0,0.0,0.48
45,011130007,0.68,0.0,0.0,0.68,0.0,0.0,1.19,0.0,0.0,1.22,0.0,0.15,16.48
46,011170001,0.66,0.02,0.39,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,011281007,0.66,0.02,0.36,0.28,0.0,0.03,0.17,0.0,0.01,0.09,0.0,0.0,0.0
48,011254004,0.63,0.03,0.07,0.53,0.01,0.2,0.18,0.02,0.14,0.17,0.0,0.01,0.14
49,011210018,0.58,0.0,0.0,0.58,0.0,0.02,0.91,0.0,0.0,1.38,0.0,0.0,0.02
50,011221001,0.56,0.0,0.0,0.56,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
51,011210005,0.52,0.0,0.16,0.36,0.0,0.12,0.37,0.0,0.32,0.64,0.0,0.06,0.89
52,011200006,0.44,0.0,0.0,0.44,0.0,0.0,1.43,0.0,0.0,1.98,0.0,0.0,6.03
53,011262006,0.43,0.02,0.22,0.19,0.0,0.17,0.26,0.01,0.05,0.09,0.0,0.0,0.0
54,011252002,0.43,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
55,011180013,0.39999999999999997,0.03,0.3,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,011180014,0.35,0.01,0.21,0.13,0.0,0.0,0.02,0.02,0.1,0.03,0.0,0.0,0.0
57,011223001,0.33,0.0,0.0,0.33,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0
58,011200007,0.32,0.0,0.0,0.32,0.2,0.11,0.13,0.39,0.33,0.28,0.68,0.15,1.09
59,011252003,0.31,0.0,0.0,0.31,0.0,0.0,0.08,0.0,0.0,0.15,0.0,0.0,0.0
60,011222001,0.31,0.0,0.0,0.31,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0
61,011200012,0.25,0.0,0.05,0.2,0.01,0.14,1.22,0.88,1.23,1.34,0.91,3.24,10.61
62,011222012,0.25,0.0,0.1,0.15,0.0,0.01,0.09,0.02,0.07,0.11,0.0,0.0,0.09
63,011220ROW,0.24,0.0,0.0,0.24,0.0,0.04,0.61,0.0,0.03,0.72,0.0,0.01,0.88
64,011200008,0.23,0.0,0.0,0.23,0.29,0.18,0.05,0.31,0.18,0.99,0.62,0.14,1.69
65,011170003,0.23,0.0,0.1,0.13,0.01,0.22,0.04,0.0,0.01,0.0,0.0,0.0,0.0
66,011180004,0.21,0.0,0.15,0.06,0.0,0.2,0.09,0.0,0.0,0.0,0.0,0.0,0.0
67,011222006,0.19999999999999998,0.0,0.02,0.18,0.0,0.0,0.26,0.0,0.07,0.37,0.0,0.0,0.0
68,011243006,0.17,0.0,0.0,0.17,0.0,0.0,0.38,0.0,0.0,0.07,0.0,0.0,0.13
69,011254003,0.15000000000000002,0.0,0.01,0.14,0.02,0.04,0.92,0.02,0.02,0.03,0.0,0.0,0.0
70,011262005,0.15000000000000002,0.0,0.01,0.14,0.0,0.02,0.04,0.02,0.14,0.27,0.01,0.06,0.03
71,011180007,0.14,0.0,0.1,0.04,0.0,0.07,0.18,0.0,0.0,0.0,0.0,0.0,0.0
72,011252006,0.13,0.0,0.0,0.13,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0
73,011222004,0.11,0.0,0.0,0.11,0.0,0.0,0.23,0.0,0.0,0.09,0.0,0.0,0.0
74,011222003,0.11,0.0,0.0,0.11,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0
75,011252001,0.1,0.0,0.0,0.1,0.0,0.02,0.28,0.0,0.0,0.02,0.0,0.01,0.03
76,011252004,0.1,0.0,0.0,0.1,0.0,0.0,0.31,0.0,0.0,0.04,0.0,0.0,0.0
77,011222015,0.1,0.0,0.0,0.1,0.1,0.1,0.42,0.0,0.0,0.01,0.03,0.05,0.28
78,011222013,0.09,0.0,0.06,0.03,0.0,0.1,0.26,0.0,0.0,0.01,0.0,0.01,0.19
79,011254002,0.07,0.0,0.0,0.07,0.0,0.0,0.65,0.0,0.0,0.08,0.0,0.0,0.0
80,011150019,0.06,0.0,0.0,0.06,0.0,0.0,0.05,0.0,0.0,0.13,0.0,0.0,0.16
81,011252007,0.06,0.0,0.0,0.06,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
82,011180010,0.05,0.0,0.0,0.05,0.0,0.02,0.21,0.0,0.0,0.01,0.0,0.0,0.0
83,011180009,0.05,0.0,0.03,0.02,0.0,0.09,0.12,0.0,0.0,0.0,0.0,0.0,0.0
84,011180006,0.05,0.0,0.01,0.04,0.0,0.01,0.15,0.0,0.02,0.16,0.0,0.0,0.0
85,011250ROW,0.04,0.0,0.0,0.04,0.0,0.04,1.17,0.02,0.07,1.08,0.0,0.0,0.48
86,011254006,0.04,0.0,0.0,0.04,0.0,0.01,0.28,0.07,0.1,0.23,0.0,0.0,0.0
87,011180008,0.04,0.0,0.03,0.01,0.0,0.18,0.14,0.0,0.0,0.01,0.0,0.0,0.0
88,011252008,0.04,0.0,0.0,0.04,0.0,0.0,0.48,0.0,0.0,0.0,0.0,0.0,0.0
89,011150018,0.04,0.0,0.0,0.04,0.0,0.0,0.08,0.0,0.0,0.03,0.0,0.0,0.07
90,011140002,0.03,0.0,0.0,0.03,0.0,0.0,0.19,0.0,0.0,0.12,0.0,0.0,0.0
91,011222002,0.03,0.0,0.0,0.03,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
92,011260ROW,0.02,0.0,0.0,0.02,0.0,0.0,0.07,0.03,0.17,0.44,0.07,0.23,0.4
93,011180011,0.02,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.01,0.25,0.0,0.0,0.0
94,011223002,0.01,0.0,0.0,0.01,0.0,0.0,0.24,0.0,0.0,0.14,0.0,0.0,0.02
95,011281006,0.01,0.0,0.01,0.0,0.0,0.03,0.13,0.03,0.2,0.28,0.0,0.0,0.08
96,011252005,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.1,0.0,0.0,0.0
97,011140006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.04
98,011140007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.28
99,011251003,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.33,0.0,0.0,0.23
100,011251002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.49
101,011251001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.42
102,011252009,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0
103,011290012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,1.29
104,011243005,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.46,0.0,0.0,0.16
105,011242003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43
106,011240ROW,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.09,1.03
107,011241001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.56
108,011241002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.55
109,011241003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.01,0.56
110,011241004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.54
111,011241005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52
112,011241006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.47
113,011241007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45
114,011242001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42
115,011242002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38
116,011242004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47
117,011252010,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.08,0.0,0.0,0.0
118,011242005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
119,011242006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53
120,011242007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.65
121,011242008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.53
122,011242009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63
123,011242010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76
124,011242011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.85
